,Bid_ID,Field_ID,Flood Start,Flood End,Source,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08
13,23-FDW-363,Center_Marsh,2023-08-18,2023-09-30,Sentinel 2,0.201068483861097,0.162707051123227,0.3170469487838965,0.3162387196041417,0.3959468735269063,0.48343322356918433,0.5418255195626822,0.5260587666123601,0.5992330954330307,0.5972758623541375
14,23-FDW-365,51,2023-08-25,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.0,0.041460718002081155,0.1271462018730489,0.215595733610822,0.16584287200832462,0.24323621227887612,0.2653485952133194
15,23-FDW-365,60,2023-08-25,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.01298925948640531,0.012784828041704017,0.02556965608340803,0.017046437388938688,0.025569656083408034,0.04010001415294618,0.03609001273765156
16,23-FDW-365,61,2023-08-25,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.008637970393135146,0.0,0.07414995668367697,0.1222342369687426,0.0672509627606093,0.11434244557003641,0.12932293741581763
17,23-FDW-365,Ruport_Resevoir,2023-08-25,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.0,0.0,0.0028938534552610255,0.0,0.0,0.0,0.0
18,23-FDW-366,The_Frog_Pond,2023-08-18,2023-09-30,Sentinel 2,0.0018602280690577827,0.05950206581955774,0.18036142787369142,0.26930977610725343,0.29696332632562494,0.3992036694909856,0.559277427392354,0.4652120362702003,0.4026600497433321,0.5169480367798519
19,23-FDW-368,Tulare_West,2023-08-25,2023-09-30,Sentinel 2,,0.0,0.13260530421216846,0.12136756656706944,0.8161329843024229,0.8334787628793286,0.8015195184078548,0.8793904298544822,0.9134121297055271,0.8101130824894013
20,23-FDW-370,Lawrence,2023-08-25,2023-09-30,Sentinel 2,,0.0,0.0,0.0,0.0,0.021225826142448875,0.04775810882050997,0.19810771066285618,0.3608390444216309,0.5624843927748953
21,23-FDW-372,Unit_10,2023-09-01,2023-09-30,Sentinel 2,0.6087695724901964,0.2661721556475718,0.24722351715249402,0.2719170757122878,0.30667452765514025,0.3132421093043025,0.20957303863767238,0.1326541804919516,0.06436641346971234,
22,23-FDW-372,Unit_3,2023-08-25,2023-09-30,Sentinel 2,0.9364350245873516,0.9252468265162198,0.9171272824305262,0.9147829070255021,0.8815423321770286,0.8277265276560057,0.7985552548317005,0.730835207562993,0.610604963214272,
23,23-FDW-372,Unit_9,2023-09-08,2023-09-30,Sentinel 2,0.18160327087410622,0.2656810122657779,0.34760788265157827,0.30482298912938166,0.39019900401108376,0.45036526052667275,0.4358711027573779,0.3407871025248513,0.1703160423973492,
24,23-FDW-373,Main Pond,2023-08-25,2023-09-30,Sentinel 2,0.12772223407256558,0.05335737136160904,0.04486138538921504,0.05375086297257075,0.13738638005656073,0.32216973667008464,0.4957029126614425,0.5229751395091213,0.5354638721263881,0.5455546304642513
25,23-FDW-381,Unit 1,2023-08-18,2023-09-30,Sentinel 2,,0.0,0.00897961100090383,0.3504395901071684,0.5211226274459169,0.6947167020764616,0.8091275104762128,0.8076719918303147,0.8402098763982957,0.849306867935159
26,23-FDW-381,Unit 2,2023-08-18,2023-09-30,Sentinel 2,,0.0,0.20840711256602926,0.8084193804606828,0.8044624160589211,0.8048812188605673,0.8095891400101088,0.8082316412737379,0.7861361831179144,0.8008664885551301
27,23-FDW-381,Unit 3,2023-08-18,2023-09-30,Sentinel 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132679580955443
28,23-FDW-381,Unit 5,2023-08-25,2023-09-30,Sentinel 2,,0.0,0.0,0.007221248132995647,0.008753815182804076,0.023066432885252286,0.003019676602376777,0.00018182998896032205,0.0,0.0
29,23-FDW-389,"Ponds 5, 7, 10, 16",2023-08-18,2023-09-30,Sentinel 2,,0.03222721918324329,0.18726958497143228,0.38429438724169357,0.6554894769723825,0.693189242809384,0.8093288440169212,0.8476366705932292,0.8271867533371807,0.6421121407076399
30,23-FDW-394,Unit 1,2023-09-08,2023-09-30,Sentinel 2,0.0,0.005876928236083167,0.0,0.0,0.0,0.19826458752515097,0.40636317907444686,0.3832117706237425,0.5834507042253523,0.586393360160966
31,23-FDW-394,Unit 2,2023-09-08,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.0,0.0,0.11504961708553552,0.7634469492683275,0.7351148743393374,0.8207852443102143,0.8367220364577712
32,23-FDW-394,Unit 3,2023-09-08,2023-09-30,Sentinel 2,0.0,0.010721720325794775,0.0,0.0,0.0,0.0,0.46308534934012374,0.6544746255987384,0.6637664463711874,0.6815315588431452
33,23-FDW-394,Unit 4,2023-09-08,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.0,0.0,0.0,0.04602894998851192,0.14746879068698784,0.7198246151489625,0.741632840621889
34,23-FDW-394,Unit5,2023-09-08,2023-09-30,Sentinel 2,0.0,0.0034733275326641333,0.0,0.0,0.0,0.0,0.09352517985611508,0.6450308779525051,0.8288767216315442,0.8504912883852209
